datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
250320190421.436,0.120,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190421.695,0.240,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190421.710,0.360,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190421.956,0.480,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190421.971,0.600,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.079,0.720,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.213,0.840,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.349,0.960,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.468,1.080,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.599,1.200,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.732,1.320,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.739,1.440,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190422.888,1.560,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.019,1.680,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.148,1.800,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.280,1.920,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.413,2.040,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.541,2.160,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.671,2.280,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.802,2.400,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.930,2.520,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190423.945,2.640,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.073,2.760,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.207,2.880,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.334,3.000,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.466,3.120,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.595,3.240,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.728,3.360,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.856,3.480,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190424.984,3.600,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190425.115,3.720,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190425.244,3.840,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190425.378,3.960,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
250320190425.392,4.080,0.5279,1.3614,-3.0266,0.9603,0.2790,0.0000,0.0000,32.4000,0.0000,0.0000
