datetime,sessionTime,RMSSD
250320190427.502,0.000,63.388
250320190427.502,0.000,63.388
250320190428.419,1.040,59.071
250320190428.552,2.100,62.212
250320190429.475,3.020,38.512
250320190430.530,3.940,34.837
250320190430.659,3.940,34.910
250320190431.451,5.000,33.235
250320190431.579,6.060,26.327
250320190432.501,6.060,21.069
250320190433.424,6.980,20.879
250320190433.557,6.980,21.987
250320190434.469,8.020,16.656
250320190435.419,9.080,16.174
250320190435.541,9.080,16.971
250320190436.444,10.000,18.964
250320190437.409,10.000,20.236
250320190437.532,11.060,21.209
250320190438.458,11.980,23.428
250320190439.513,11.980,24.310
250320190439.638,13.040,24.868
250320190440.436,13.960,34.726
250320190442.051,13.960,33.409
250320190442.059,15.020,35.179
250320190442.464,15.960,42.166
250320190443.392,15.960,44.465
250320190443.520,17.020,45.842
250320190444.580,18.060,43.273
250320190445.500,18.060,43.895
250320190446.436,18.980,47.351
250320190447.485,19.900,42.928
250320190447.614,19.900,45.133
250320190448.409,20.520,47.087
250320190449.453,21.440,48.409
250320190449.599,21.440,50.375
250320190450.518,22.620,52.254
250320190451.454,23.560,52.956
250320190452.505,24.480,53.193
250320190452.633,25.540,53.135
250320190453.428,25.540,51.772
250320190454.491,26.460,57.512
250320190454.619,27.520,58.306
250320190455.412,27.520,52.495
250320190456.472,28.560,50.954
250320190457.517,29.500,47.525
250320190457.652,30.560,49.198
250320190458.452,30.560,50.326
250320190459.505,31.480,47.650
250320190500.426,32.520,47.538
250320190501.481,32.520,38.625
250320190501.611,33.460,34.981
250320190502.562,34.520,35.434
250320190503.499,35.580,39.804
250320190504.418,35.580,35.114
250320190504.550,36.500,37.001
250320190505.479,37.560,32.690
250320190506.398,38.480,33.358
250320190507.449,39.540,31.358
250320190507.583,39.540,33.048
250320190508.508,39.920,33.698
250320190508.638,41.060,34.576
250320190509.423,41.980,26.802
250320190510.483,41.980,28.361
250320190511.529,43.040,37.556
250320190512.456,43.960,35.084
250320190512.583,45.020,36.345
250320190513.516,45.020,36.657
250320190514.429,46.060,34.994
250320190514.563,46.060,34.513
250320190515.484,47.000,34.401
250320190516.413,48.040,32.624
250320190516.540,49.100,32.330
250320190517.466,50.020,21.620
250320190518.391,50.020,21.723
250320190518.537,51.080,22.616
250320190519.449,52.000,21.472
250320190520.504,52.000,22.220
250320190520.638,53.060,23.146
250320190521.428,53.980,21.092
250320190521.562,53.980,22.116
250320190523.178,55.020,22.202
250320190523.460,55.960,24.036
250320190524.391,55.960,25.585
250320190524.518,57.020,26.772
250320190525.431,58.080,30.034
250320190526.498,58.080,29.674
250320190526.640,59.000,30.661
250320190527.428,59.000,29.421
250320190528.486,60.060,32.671
250320190529.414,60.540,34.124
250320190529.549,61.460,31.382
250320190530.472,61.460,29.335
250320190531.532,62.520,28.464
250320190532.458,63.580,41.659
250320190532.590,63.580,43.640
250320190533.514,64.500,42.623
250320190534.436,65.560,42.623
250320190535.487,66.480,41.280
250320190536.534,66.480,48.224
250320190536.668,67.540,48.577
250320190537.455,68.600,53.885
250320190538.511,69.520,59.422
250320190539.432,69.520,50.137
250320190540.481,70.580,51.418
250320190540.615,71.500,54.007
250320190541.407,72.560,54.319
250320190542.454,73.620,53.852
250320190543.684,73.620,51.948
250320190543.693,74.540,53.417
250320190544.494,75.580,52.443
250320190545.551,76.500,46.139
250320190546.477,77.560,59.264
250320190547.411,77.560,54.288
250320190547.539,78.480,57.223
250320190548.453,79.540,56.875
250320190549.391,80.060,60.729
250320190550.579,80.060,58.858
250320190550.713,81.060,54.862
250320190551.500,82.120,50.506
250320190552.423,83.040,50.524
250320190553.480,83.980,47.907
250320190554.536,83.980,51.811
250320190554.669,85.040,53.954
250320190555.462,85.960,63.331
250320190556.518,87.140,59.686
250320190557.445,87.140,58.532
250320190558.502,88.080,60.770
250320190559.432,89.000,61.126
250320190559.561,90.040,64.366
250320190600.486,91.100,54.550
250320190601.412,91.100,48.694
250320190602.473,92.020,50.337
250320190602.601,93.080,41.387
250320190603.394,94.020,42.016
250320190604.492,95.060,42.611
250320190605.425,96.000,38.471
250320190605.553,96.000,34.791
250320190606.481,97.060,37.917
250320190607.406,97.980,38.044
250320190608.462,99.040,39.379
250320190608.582,99.040,39.914
250320190609.518,99.960,36.660
250320190610.415,100.580,33.557
250320190610.547,101.500,34.640
250320190611.500,101.500,36.880
250320190612.421,102.560,41.561
250320190613.471,103.480,42.958
250320190613.606,104.540,45.164
250320190614.393,104.540,42.048
250320190615.445,105.600,37.219
250320190616.498,106.500,37.511
250320190616.627,106.500,39.406
250320190617.418,107.600,42.450
250320190618.463,108.500,41.705
250320190619.488,109.560,39.055
250320190619.621,109.560,39.560
250320190620.390,110.480,38.879
250320190621.420,111.520,38.879
250320190641.491,112.580,52.822
250320190641.621,112.580,53.536
250320190642.421,113.480,53.477
250320190643.405,114.500,49.422
250320190643.521,115.540,50.976
250320190643.911,115.540,50.976
250320190643.911,116.440,50.976
250320190643.911,117.460,50.976
250320190643.911,136.740,50.976
250320190643.911,136.740,50.976
250320190643.911,137.680,50.976
250320190643.911,138.660,50.976
250320190643.911,138.660,50.976
