datetime,sessionTime,type,message,details
250320200808.638,13.780,Screenshots,screen_1920x1080_0.jpg,NONE
250320200829.163,33.820,Screenshots,screen_1920x1080_1.jpg,NONE
250320200849.600,53.920,Screenshots,screen_1920x1080_2.jpg,NONE
