datetime,sessionTime,RRi
250320201244.207,104.420,601.563
250320201245.226,105.440,598.633
250320201245.226,105.440,594.727
250320201246.230,106.460,598.633
250320201247.267,107.480,611.328
250320201247.267,107.480,605.469
250320201248.291,108.500,606.445
250320201248.291,108.500,611.328
250320201249.306,109.520,595.703
250320201250.327,110.540,598.633
250320201250.327,110.540,592.773
250320201251.411,110.820,591.797
250320201251.411,110.820,577.148
250320201252.187,111.900,566.406
250320201252.187,111.900,559.570
250320201253.206,112.920,554.688
250320201254.227,113.940,547.852
250320201254.227,113.940,547.852
250320201255.242,114.960,544.922
250320201255.242,114.960,542.969
250320201256.259,115.980,540.039
250320201256.259,115.980,543.945
250320201257.285,117.000,530.273
250320201257.285,117.000,536.133
250320201258.306,118.020,543.945
250320201258.307,118.020,541.992
250320201259.182,118.900,542.969
250320201300.202,119.920,544.922
250320201300.202,119.920,546.875
250320201301.224,120.940,556.641
250320201301.224,120.940,564.453
250320201302.243,121.960,562.500
250320201302.243,121.960,564.453
250320201303.263,122.980,558.594
250320201303.263,122.980,560.547
250320201304.283,124.000,561.523
250320201305.305,125.020,556.641
250320201305.305,125.020,544.922
250320201306.218,125.940,546.875
250320201306.218,125.940,542.969
250320201307.235,126.960,541.016
250320201307.235,126.960,540.039
250320201308.248,127.960,535.156
250320201308.248,127.960,539.063
250320201309.279,129.000,539.063
250320201309.279,129.000,539.063
250320201310.148,129.860,545.898
250320201311.999,130.880,563.477
250320201311.999,130.880,565.430
250320201312.191,131.380,549.805
250320201312.192,131.380,550.781
250320201313.227,132.420,548.828
250320201313.227,132.420,550.781
250320201314.244,133.440,551.758
250320201314.244,133.440,558.594
250320201315.251,134.440,562.500
250320201316.290,135.480,570.313
250320201316.290,135.480,568.359
250320201317.304,136.500,565.430
250320201317.304,136.500,556.641
250320201318.189,137.380,549.805
250320201318.189,137.380,543.945
250320201319.213,138.400,539.063
250320201319.213,138.400,537.109
250320201320.245,139.440,534.180
250320201320.245,139.440,535.156
250320201321.242,140.440,537.109
250320201322.290,141.480,545.898
250320201322.290,141.480,565.430
250320201323.164,142.360,567.383
250320201323.164,142.360,592.773
250320201324.325,143.520,596.680
250320201325.206,144.400,584.961
250320201325.206,144.400,578.125
250320201326.224,145.420,577.148
250320201326.226,145.420,581.055
250320201327.235,146.420,584.961
250320201327.235,146.420,591.797
250320201328.253,147.440,595.703
250320201329.286,148.480,601.563
250320201329.286,148.480,588.867
250320201330.332,149.520,595.703
250320201330.332,149.520,586.914
250320201331.347,150.540,591.797
250320201332.590,150.980,586.914
250320201332.590,150.980,575.195
250320201333.214,151.900,575.195
250320201333.214,151.900,578.125
250320201334.235,152.920,583.008
250320201335.257,153.940,612.305
250320201335.257,153.940,641.602
250320201336.273,154.960,633.789
250320201336.273,154.960,630.859
250320201337.300,155.980,626.953
250320201338.320,157.000,629.883
250320201338.320,157.000,620.117
250320201339.192,157.880,615.234
250320201340.207,158.900,605.469
250320201340.207,158.900,605.469
250320201341.235,159.920,593.750
250320201341.235,159.920,597.656
250320201342.253,160.940,583.984
250320201342.253,160.940,585.938
250320201343.275,161.960,587.891
250320201344.299,162.980,587.891
250320201344.299,162.980,593.750
250320201345.174,163.860,591.797
250320201345.174,163.860,583.008
250320201346.190,164.880,571.289
250320201347.213,165.900,567.383
250320201347.213,165.900,567.383
250320201348.236,166.920,562.500
250320201348.236,166.920,556.641
250320201349.286,167.980,558.594
250320201349.286,167.980,572.266
250320201350.288,168.980,581.055
250320201351.183,169.860,587.891
250320201351.183,169.860,601.563
250320201352.210,170.900,613.281
250320201352.210,170.900,617.188
250320201353.159,171.040,623.047
250320201354.228,172.420,616.211
250320201354.228,172.420,619.141
250320201355.268,173.460,624.023
250320201356.296,174.480,610.352
250320201356.296,174.480,622.070
250320201357.332,175.520,615.234
250320201357.332,175.520,625.977
250320201358.216,176.400,619.141
250320201359.231,177.420,612.305
250320201359.231,177.420,612.305
250320201400.248,178.440,604.492
250320201400.248,178.440,596.680
250320201401.272,179.460,608.398
250320201402.291,180.480,619.141
250320201402.291,180.480,625.000
250320201403.311,181.500,603.516
250320201403.311,181.500,588.867
250320201404.181,182.360,583.008
250320201405.208,183.400,582.031
250320201405.208,183.400,582.031
250320201406.229,184.420,584.961
250320201406.229,184.420,588.867
250320201407.243,185.420,583.984
250320201407.243,185.420,583.008
250320201408.262,186.440,575.195
250320201409.290,187.480,582.031
250320201409.290,187.480,583.984
250320201410.308,188.500,583.008
250320201410.308,188.500,588.867
250320201411.326,189.520,592.773
250320201412.194,190.380,601.563
250320201412.194,190.380,597.656
250320201413.730,191.100,588.867
250320201413.730,191.100,580.078
250320201414.212,191.900,576.172
250320201415.235,192.920,576.172
250320201415.235,192.920,579.102
250320201416.522,194.120,591.797
250320201416.522,194.120,587.891
250320201417.492,195.040,588.867
250320201417.492,195.040,577.148
250320201418.181,195.660,586.914
250320201419.192,196.680,591.797
250320201419.192,196.680,600.586
250320201420.175,197.660,612.305
250320201421.309,198.780,612.305
250320201421.309,198.780,615.234
250320201422.256,199.740,613.281
250320201422.256,199.740,607.422
250320201423.227,200.700,601.563
250320201424.343,201.820,592.773
250320201424.343,201.820,590.820
250320201425.302,202.780,585.938
250320201425.302,202.780,589.844
250320201426.257,203.740,591.797
250320201426.257,203.740,592.773
250320201427.214,204.700,598.633
250320201428.169,205.640,590.820
250320201428.169,205.640,592.773
250320201429.286,206.760,589.844
250320201429.286,206.760,599.609
250320201430.258,207.740,596.680
250320201431.205,208.680,610.352
250320201431.205,208.680,613.281
250320201432.161,209.640,615.234
250320201432.161,209.640,585.938
250320201433.229,210.720,586.914
250320201434.462,211.160,576.172
250320201434.462,211.160,580.078
250320201435.195,212.200,570.313
250320201435.195,212.200,576.172
250320201436.179,213.180,574.219
250320201436.179,213.180,572.266
250320201437.292,214.300,564.453
250320201438.263,215.260,558.594
250320201438.263,215.260,555.664
