datetime,sessionTime,RMSSD
250320201249.451,104.420,7.543
250320201250.469,105.440,7.392
250320201250.614,105.440,7.731
250320201251.436,106.460,8.592
250320201251.445,107.480,8.962
250320201252.329,107.480,8.508
250320201252.479,108.500,8.753
250320201253.349,108.500,8.897
250320201254.367,109.520,8.575
250320201254.516,110.540,7.387
250320201255.386,110.540,7.035
250320201255.534,110.820,7.154
250320201256.410,110.820,6.954
250320201256.558,111.900,5.466
250320201257.429,111.900,6.122
250320201257.578,112.920,6.038
250320201258.448,113.940,6.075
250320201258.599,113.940,5.985
250320201259.325,114.960,5.993
250320201300.344,114.960,5.678
250320201300.495,115.980,5.949
250320201301.375,115.980,6.829
250320201301.514,117.000,7.080
250320201302.388,117.000,5.213
250320201302.537,118.020,5.137
250320201303.409,118.020,4.632
250320201303.557,118.900,4.839
250320201304.427,119.920,4.839
250320201305.454,119.920,6.067
250320201305.598,120.940,6.362
250320201306.358,120.940,5.367
250320201306.503,121.960,5.022
250320201307.375,121.960,4.774
250320201307.523,122.980,4.990
250320201308.398,122.980,4.784
250320201308.539,124.000,5.001
250320201309.422,125.020,4.734
250320201309.567,125.020,4.717
250320201310.299,125.940,3.491
250320201312.025,125.940,6.470
250320201312.034,126.960,6.695
250320201312.342,126.960,8.029
250320201312.483,127.960,8.457
250320201313.365,127.960,7.922
250320201313.511,129.000,8.248
250320201314.393,129.000,8.124
250320201314.535,129.860,8.563
250320201315.410,130.880,8.356
250320201316.432,130.880,6.199
250320201316.583,131.380,6.502
250320201317.461,131.380,4.714
250320201317.602,132.420,4.958
250320201318.331,132.420,5.464
250320201318.486,133.440,5.722
250320201319.362,133.440,5.669
250320201319.508,134.440,5.524
250320201320.385,135.480,5.186
250320201320.528,135.480,4.806
250320201321.416,136.500,4.806
250320201322.435,136.500,8.112
250320201322.583,137.380,8.033
250320201323.308,137.380,10.875
250320201323.452,138.400,11.295
250320201324.473,138.400,11.253
250320201325.346,139.440,11.489
250320201325.493,139.440,12.071
250320201326.364,140.440,11.518
250320201326.506,141.480,12.123
250320201327.385,141.480,11.435
250320201327.525,142.360,10.144
250320201328.401,142.360,10.206
250320201329.427,143.520,6.988
250320201329.569,144.400,7.250
250320201330.470,144.400,6.780
250320201330.621,145.420,6.774
250320201331.490,145.420,6.959
250320201332.612,146.420,7.627
250320201332.622,146.420,7.934
250320201333.362,147.440,7.269
250320201333.509,148.480,7.550
250320201334.380,148.480,7.473
250320201335.400,149.520,14.346
250320201335.549,149.520,14.949
250320201336.417,150.540,14.155
250320201336.562,150.980,14.832
250320201337.445,150.980,14.800
250320201338.462,151.900,13.921
250320201338.611,151.900,14.674
250320201339.337,152.920,14.731
250320201340.357,153.940,14.229
250320201340.501,153.940,11.384
250320201341.381,154.960,6.787
250320201341.529,154.960,6.663
250320201342.390,155.980,7.627
250320201342.550,157.000,7.934
250320201343.419,157.000,7.900
250320201344.447,157.880,7.076
250320201344.586,158.900,7.279
250320201345.332,158.900,6.801
250320201345.465,159.920,7.169
250320201346.340,159.920,7.169
250320201347.360,160.940,6.801
250320201347.491,160.940,5.534
250320201348.360,161.960,5.744
250320201348.518,162.980,6.020
250320201349.429,162.980,7.190
250320201349.574,163.860,7.322
250320201350.457,163.860,7.860
250320201351.338,164.880,8.440
250320201351.480,165.900,7.994
250320201352.355,165.900,8.440
250320201353.184,166.920,8.641
250320201353.193,166.920,8.962
250320201354.382,167.980,8.625
250320201354.535,167.980,9.068
250320201355.422,168.980,8.007
250320201356.445,169.860,9.077
250320201356.590,169.860,9.293
250320201357.474,170.900,8.674
250320201357.610,170.900,8.267
250320201358.366,171.040,8.476
250320201359.377,172.420,8.118
250320201359.520,172.420,8.248
250320201400.391,173.460,8.519
250320201400.538,174.480,8.831
250320201401.414,174.480,8.513
250320201402.434,175.520,8.153
250320201402.579,175.520,8.286
250320201403.452,176.400,10.857
250320201403.598,177.420,11.215
250320201404.327,177.420,11.154
250320201405.351,178.440,10.586
250320201405.484,178.440,10.850
250320201406.376,179.460,10.111
250320201406.514,180.480,9.916
250320201407.395,180.480,8.913
250320201407.533,181.500,9.190
250320201408.413,181.500,6.320
250320201409.432,182.360,4.422
250320201409.575,183.400,4.232
250320201410.449,183.400,4.422
250320201410.595,184.420,4.661
250320201411.465,184.420,4.740
250320201412.346,185.420,5.286
250320201412.486,185.420,5.329
250320201413.754,186.440,6.396
250320201413.762,187.480,6.219
250320201414.355,187.480,5.931
250320201415.376,188.500,5.669
250320201415.522,188.500,5.967
250320201416.544,189.520,6.801
250320201416.554,190.380,7.050
250320201417.626,190.380,7.130
250320201417.766,191.100,7.402
250320201418.318,191.100,7.536
250320201419.368,191.900,7.314
250320201419.542,192.920,7.599
250320201420.334,192.920,8.545
250320201421.481,194.120,8.106
250320201421.637,194.120,7.423
250320201422.439,195.040,7.203
250320201422.599,195.040,7.585
250320201423.390,195.660,6.789
250320201424.501,196.680,6.329
250320201424.662,196.680,6.470
250320201425.464,197.660,5.819
250320201425.622,198.780,4.728
250320201426.422,198.780,4.539
250320201426.577,199.740,4.683
250320201427.375,199.740,5.032
250320201428.329,200.700,5.084
250320201428.489,201.820,4.990
250320201429.454,201.820,5.008
250320201429.591,202.780,5.239
250320201430.408,202.780,5.074
250320201431.353,203.740,6.419
250320201431.526,203.740,6.734
250320201432.325,204.700,11.267
250320201432.472,205.640,11.714
250320201433.403,205.640,11.426
250320201434.488,206.760,11.409
250320201434.498,206.760,11.987
250320201435.343,207.740,11.522
250320201435.481,208.680,12.106
250320201436.315,208.680,10.675
250320201436.458,209.640,11.210
250320201437.426,209.640,11.490
250320201438.400,210.720,6.106
250320201438.539,211.160,6.429
250320201439.371,211.160,5.074
250320201439.506,212.200,5.188
250320201440.341,212.200,4.931
250320201440.484,213.180,4.817
250320201441.317,213.180,5.167
250320201441.459,214.300,5.408
250320201442.428,215.260,4.784
250320201443.433,215.260,5.393
250320201443.572,216.240,5.600
250320201444.403,216.240,5.996
250320201444.548,217.200,6.312
250320201445.378,217.200,7.958
250320201445.516,218.180,7.731
250320201446.350,218.180,7.731
250320201447.324,219.280,7.282
250320201447.463,220.280,7.648
250320201448.434,220.280,7.123
250320201448.571,221.260,7.330
250320201449.409,221.260,6.727
250320201450.385,222.240,6.988
250320201450.523,222.240,6.890
250320201451.355,223.220,5.102
250320201451.499,224.180,5.218
250320201452.330,224.180,5.349
250320201452.466,225.300,5.486
250320201453.300,225.300,6.805
250320201455.082,226.260,6.099
250320201455.091,227.240,6.420
250320201455.382,227.240,6.253
250320201455.528,228.220,5.904
250320201456.362,228.220,5.331
250320201456.496,229.180,5.610
250320201457.328,229.180,5.722
250320201458.448,230.160,6.666
250320201458.586,231.280,5.610
250320201459.422,231.280,6.192
250320201459.563,231.760,6.519
250320201500.394,231.760,6.591
250320201501.370,232.720,7.602
250320201501.520,232.720,7.954
250320201502.353,233.720,7.745
250320201502.495,234.820,8.060
250320201503.330,234.820,10.232
250320201504.441,235.800,11.262
250320201504.581,235.800,11.319
250320201505.418,236.780,11.368
250320201505.553,237.740,11.871
250320201506.394,237.740,11.210
250320201507.393,238.740,11.014
250320201507.534,238.740,11.495
250320201508.360,239.700,11.702
250320201508.520,240.820,10.478
250320201509.351,240.820,10.835
250320201510.329,241.800,7.463
250320201510.469,241.800,7.004
250320201511.308,242.780,6.580
250320201511.449,243.760,6.742
250320201512.418,243.760,6.805
250320201513.390,244.760,8.406
250320201513.529,244.760,7.785
250320201514.361,245.720,7.922
250320201514.503,246.720,7.819
250320201515.583,246.720,7.799
250320201516.435,247.680,10.210
250320201516.581,247.680,10.683
250320201517.409,248.800,11.596
250320201517.555,249.760,12.184
250320201518.529,249.760,12.093
250320201519.337,250.740,13.518
250320201519.443,250.740,14.245
250320201519.802,251.300,14.245
250320201519.802,252.340,14.245
250320201519.802,252.340,14.245
250320201519.802,253.300,14.245
250320201519.802,253.300,14.245
250320201519.802,254.420,14.245
250320201519.802,255.240,14.245
250320201519.802,255.240,14.245
