datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
250320185300.271,0.120,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185300.565,0.240,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185300.580,0.360,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185300.866,0.480,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185300.882,0.600,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185300.898,0.720,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185300.931,0.840,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185301.051,0.960,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185301.202,1.080,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185301.349,1.200,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185301.522,1.320,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185301.688,1.440,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185301.703,1.560,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185301.849,1.680,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185302.009,1.800,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185302.025,1.920,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185302.162,2.040,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185302.316,2.160,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185302.459,2.280,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185302.752,2.400,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
250320185302.769,2.520,0.0000,1.3614,-3.0591,0.9950,0.1002,0.0000,0.0000,11.5000,0.0000,0.0000
