datetime,sessionTime,RRi
250327213714.782,133.620,647.461
250327213715.726,134.560,610.352
250327213715.726,134.560,594.727
250327213716.718,135.560,986.328
250327213717.750,136.600,821.289
250327213717.750,136.600,682.617
250327213718.741,137.580,625.000
250327213719.730,138.580,594.727
250327213719.730,138.580,602.539
250327213720.720,139.560,643.555
250327213721.711,140.560,683.594
250327213722.748,141.600,865.234
250327213723.735,142.580,791.992
250327213723.735,142.580,784.180
250327213724.728,143.580,763.672
250327213725.714,144.560,738.281
250327213725.714,144.560,728.516
250327213726.750,145.600,729.492
250327213727.742,146.580,738.281
250327213728.733,147.580,723.633
250327213728.733,147.580,711.914
250327213729.720,148.560,710.938
250327213730.713,149.560,713.867
250327213730.713,149.560,715.820
250327213731.750,150.600,712.891
250327213732.739,151.580,684.570
250327213732.739,151.580,662.109
250327213733.728,152.580,655.273
250327213734.715,153.560,663.086
250327213735.754,154.600,696.289
250327213735.754,154.600,748.047
250327213736.741,155.580,758.789
250327213737.729,156.580,775.391
250327213738.718,157.560,754.883
250327213738.718,157.560,748.047
250327213739.709,158.560,696.289
250327213739.709,158.560,661.133
250327213740.743,159.580,646.484
250327213741.734,160.580,638.672
250327213742.725,161.560,658.203
250327213742.725,161.560,689.453
250327213743.718,162.560,755.859
250327213744.751,163.600,743.164
250327213745.743,164.580,737.305
250327213745.743,164.580,770.508
250327213746.732,165.580,766.602
250327213747.722,166.560,722.656
250327213747.722,166.560,685.547
250327213748.712,167.560,657.227
250327213749.748,168.600,648.438
250327213749.748,168.600,640.625
250327213750.733,169.580,613.281
250327213750.733,169.580,579.102
250327213751.727,170.560,564.453
250327213752.717,171.560,563.477
250327213752.717,171.560,583.008
250327213753.753,172.600,651.367
250327213754.742,173.580,676.758
250327213754.742,173.580,682.617
250327213755.729,174.580,669.922
250327213756.765,175.600,737.305
250327213756.765,175.600,708.984
250327213757.713,176.560,675.781
250327213758.743,177.580,634.766
250327213758.743,177.580,632.813
250327213759.737,178.580,638.672
250327213759.737,178.580,624.023
250327213800.729,179.580,626.953
250327213801.716,180.560,621.094
250327213802.839,181.680,665.039
250327213802.839,181.680,691.406
250327213803.790,182.640,707.031
250327213803.790,182.640,662.109
250327213804.776,183.620,640.625
250327213805.719,184.560,635.742
250327213805.719,184.560,647.461
250327213806.712,185.560,667.969
250327213807.745,186.580,666.016
250327213807.745,186.580,651.367
250327213808.738,187.580,625.977
250327213809.725,188.560,625.977
250327213809.725,188.560,643.555
250327213810.717,189.560,666.016
250327213811.750,190.600,649.414
250327213811.750,190.600,642.578
250327213812.738,191.580,657.227
250327213813.733,192.580,671.875
250327213813.733,192.580,668.945
250327213814.723,193.560,665.039
250327213815.713,194.560,687.500
250327213815.713,194.560,707.031
250327213816.744,195.580,688.477
250327213817.734,196.580,656.250
250327213817.734,196.580,641.602
250327213818.730,197.580,652.344
250327213819.718,198.560,643.555
250327213819.718,198.560,642.578
250327213820.705,199.540,619.141
250327213821.741,200.580,623.047
250327213821.741,200.580,635.742
250327213822.732,201.580,672.852
250327213823.721,202.560,719.727
250327213823.721,202.560,711.914
250327213824.708,203.560,712.891
250327213825.745,204.580,715.820
250327213825.745,204.580,701.172
250327213826.737,205.580,687.500
250327213827.729,206.580,657.227
250327213827.729,206.580,636.719
250327213828.718,207.560,616.211
250327213828.718,207.560,602.539
250327213829.707,208.540,590.820
250327213830.744,209.580,596.680
250327213830.744,209.580,593.750
250327213831.733,210.580,617.188
250327213832.723,211.560,740.234
250327213833.711,212.560,790.039
250327213833.711,212.560,795.898
250327213834.749,213.600,748.047
250327213835.738,214.580,714.844
250327213835.738,214.580,658.203
250327213836.725,215.560,626.953
250327213836.725,215.560,592.773
250327213837.718,216.560,567.383
250327213838.749,217.600,577.148
250327213839.745,218.580,627.930
250327213840.733,219.580,846.680
250327213840.733,219.580,833.984
250327213841.724,220.560,821.289
250327213842.711,221.560,845.703
250327213843.748,222.580,819.336
250327213843.748,222.580,728.516
250327213844.739,223.580,686.523
250327213845.726,224.560,653.320
250327213846.714,225.560,649.414
250327213847.707,226.540,682.617
250327213848.740,227.580,1101.563
250327213848.740,227.580,972.656
250327213849.732,228.580,793.945
250327213850.720,229.560,720.703
250327213850.720,229.560,684.570
250327213851.711,230.560,666.016
250327213852.789,231.640,642.578
250327213852.789,231.640,634.766
250327213853.782,232.620,643.555
250327213854.724,233.560,671.875
250327213855.719,234.560,718.750
250327213855.719,234.560,824.219
250327213856.704,235.540,821.289
250327213857.739,23
