datetime,sessionTime,type,message,details
250320185546.018,19.860,Screenshots,screen_1920x1080_0.jpg,NONE
250320185606.393,39.940,Screenshots,screen_1920x1080_1.jpg,NONE
250320185626.770,59.960,Screenshots,screen_1920x1080_2.jpg,NONE
