datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
250320185525.750,0.120,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185525.843,0.240,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.042,0.360,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.058,0.480,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.142,0.600,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.337,0.720,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.429,0.840,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.528,0.960,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.628,1.080,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.821,1.200,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185526.925,1.320,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.023,1.440,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.139,1.560,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.238,1.680,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.425,1.800,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.526,1.920,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.625,2.040,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.728,2.160,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185527.828,2.280,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.013,2.400,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.111,2.520,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.220,2.640,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.315,2.760,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.504,2.880,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.605,3.000,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.704,3.120,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.806,3.240,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185528.904,3.360,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.092,3.480,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.192,3.600,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.300,3.720,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.394,3.840,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.584,3.960,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.684,4.080,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.784,4.200,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.886,4.320,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185529.989,4.440,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.175,4.560,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.276,4.680,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.382,4.800,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.479,4.920,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.665,5.040,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.769,5.160,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.870,5.280,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185530.969,5.400,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.068,5.520,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.255,5.640,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.360,5.760,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.463,5.880,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.559,6.000,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.747,6.120,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.839,6.240,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185531.950,6.360,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
250320185532.048,6.480,0.0000,1.3614,-3.0591,0.8211,0.5707,0.0000,0.0000,69.6000,0.0000,0.0000
